Region300	Event Town
Region301	Event Zone 1
Region302	Event Zone 2
Region303	Event Zone 3
Region305	Elmbolt
Region306	Icethorn Vale
Region307	Hoppy Hills
Region308	Bullant Hatchery
Region309	Blood Altar
Region310	Ogre Village
Region311	Purgatory
Region312	Guild vs Guild Area
Region313	Guild vs Guild Bleachers
Region314	Purpledusk
Region315	Wasteland
Region316	Rock Oasis
가짜마적촌	Village of the Shadows
개척자의 길	Pioneer's Road
거인의 가도	Giant's Highroad
검은 파도 마을	Dark Wave Village
검은_파도_마을	Dark Wave Village
검은파도 마을	Dark Wave Village
검은파도마을	Dark Wave Village
경계석	Boundary Stone
경계의 다리	Boundary Bridge
고블린분지	Goblin Valley
고스트분지	Ghost Valley
고토강	Gotto River
고통의 방	Chamber of Pain
고통의 숲	Forest of Pain
고통의 입구	Gate of Pain
고통의_숲	Forest of Pain
고트곶	Cape Gotto
골램지역	Golem Territory
골렘 지역	Golem Territory
골렘_지역	Golem Territory
골룬도	Golundo
골룬도 마을	Golundo Village
골룬도마을	Golundo Village
공명바위	Stone of Justice
공성지역	Siege Zone
공중 다리	Sky Bridge
공중_다리	Sky Bridge
공중감옥	Sky Prison
공중다리	Sky Bridge
공포의 방	Chamber of Horror
과다니니폭포	Guadanini Waterfall
관문 마을	Barrier Village
관문마을	Barrier Village
관현악의 땅	La Triah
광기의 방	Chamber of Madness
광산 마을	Mine Village
광산 입구	Mine Entrance
광산_마을	Mine Village
광산_입구	Mine Entrance
광산마을	Mine Village
군주의 좌	Tyranny's Throne
군주의_좌	Tyranny's Throne
그랜드크림슨	Grand Crimson
그레이 계곡	Grey Valley
그루터기	The Great Stump
그룬트반도	Groont Peninsula
그림로어	Grimlore
그림로어_동쪽	Grimlore Eastern
그림로어_서쪽	Grimlore Western
그림로어동쪽	Grimlore Eastern
그림로어서쪽	Grimlore Western
그림자무덤	Shadow Grave
글렌데스틴 숲	Glendestine Forest
글렌데스틴 숲 남동부	Southeast Glendestine Forest
글렌데스틴 화산	Glendestin Volcano
글렌데스틴_숲	Glendestine Forest
글렌데스틴_화산	Glendestin Volcano
글리터스	Glitters
금지된 광산	Prohibited Mine
금지된 광산 1층	Forbidden Mine Ground Floor
금지된 광산 1층 입구	Forbidden Mine Ground Floor Entrance
금지된 광산 1층 출구	Forbidden Mine Ground Floor Exit
금지된 광산 2층	Forbidden Mine 1st Floor
금지된 광산 2층 입구	Forbidden Mine 1st Floor Entrance
금지된 광산 2층 출구	Forbidden Mine 1st Floor Exit
금지된 광산 3층	Forbidden Mine 2nd Floor
금지된 광산 3층 입구	Forbidden Mine 2nd Floor Entrance
금지된 광산 입구	Forbidden Mine Entrance
금지된 광산 출구	Forbidden Mine Exit
금지된_광산	Forbidden Mine
금지된_광산_1층	Forbidden Mine Ground Floor
금지된_광산_1층_출구	Forbidden Mine Ground Floor Exit
금지된_광산_2층	Forbidden Mine 1st Floor
금지된_광산_2층_입구	Forbidden Mine 1st Floor Entrance
금지된_광산_2층_출구	Forbidden Mine 1st Floor Exit
금지된_광산_3층	Forbidden Mine 2nd Floor
금지된_광산_3층_입구	Forbidden Mine 2nd Floor Entrance
금지된_광산_입구	Forbidden Mine Entrance
금지된_광산_출구	Forbidden Mine Exit
금지된광산	Forbidden Mine
기억의 망루	Cove of Memories
기억의언덕	Memory Hill
기적의샘	Miracle Fountain
기후제의 땅	Milieu island
기후지도	Milieu
길드 경기장	Guild Battle Square
길드 경기장 주변	Around Guild Battle Arena
길드_경기장	Guild Battle Square
길드_경기장_주변	Around Guild Battle Arena
길드경기장	Guild Battle Square
길드경기장_주변	Around Guild Battle Arena
깊은 중심지	Core Arena
깊은_중심지	Core Arena
깊은_중심지2	Core Arena 2F
깊은_중심지3	Core Arena 3F
깊은_중심지4	Core Arena 4F
깊은_중심지5	Core Arena 5F
깊은_중심지6	Core Arena 6F
꿈꾸는 절벽	Dreaming Cliff
끊어진 다리	Broken Bridge
나르캉골 산맥	Narkangol Mountains
나무꾼의숲	Woodcutter Pass
나선의 길	Spiral Road
나선의_길	Spiral Road
낙석지대	Fallen Hills
낡은 창고	Old Storehouse
낡은_창고	Old Storehouse
남쪽땅의 사원	Southern Temple
납골당	The Crypt
낮은바람마을	Low Wind Village
노래버섯지대	Singing Mushroom
노르톱 마을	Nortop Village
노르톱_마을	Nortop Village
노르톱마을	Nortop Village
노린	Norine
노린 마을	Norine Village
노블하임산맥	Noblehaim Mountains
노움의굴	Gnome Cave
녹턴야드	Nocturn Yard
다드홀	Dadhal
닫혀진 광산	Closed Mine
닫혀진 광산 1층	Closed Mine Ground Floor
닫혀진 광산 1층 입구	Closed Mine Ground Floor Entrance
닫혀진 광산 1층 출구	Closed Mine Ground Floor Exit
닫혀진 광산 2층	Closed Mine 1st Floor
닫혀진 광산 2층 입구	Closed Mine 1st Floor Entrance
닫혀진 광산 2층 출구	Closed Mine 1st Floor Exit
닫혀진 광산 3층	Closed Mine 2nd Floor
닫혀진 광산 3층 입구	Closed Mine 2nd Floor Entrance
닫혀진 광산 입구	Closed Mine Entrance
닫혀진 광산 출구	Closed Mine Exit
닫혀진_광산	Closed Mine
닫혀진_광산_1층	Closed Mine Ground Floor
닫혀진_광산_1층_출구	Closed Mine Ground Floor Entrance
닫혀진_광산_2층	Closed Mine 1st Floor
